"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"cuides";0;0;0;0;0;1;0;0;0;0;0;0
"cuidon";0;0;1;0;0;0;0;0;0;0;0;0
"cuig";0;0;0;0;1;1;0;0;0;0;0;0
"cum";1;0;0;2;1;3;4;3;11;0;1;4
"cura";0;0;0;0;0;0;0;0;0;0;0;1
"cus";1;0;3;2;1;0;0;0;1;0;0;0
"dafar";0;0;0;0;0;1;0;0;0;0;0;0
"daiguilen";1;0;0;0;0;0;0;0;0;0;0;0
"daisso";0;1;0;0;0;0;0;0;0;1;0;1
"daitan";0;0;0;0;0;0;0;0;1;0;1;0
"dal";0;0;0;0;0;0;0;0;0;1;0;1
"dals";0;0;0;0;0;0;0;0;1;0;0;0
"damar";0;0;1;0;0;0;0;0;0;0;0;0
"damic";0;0;0;0;0;0;1;0;0;0;0;0
"damor";1;0;0;0;0;0;0;1;1;0;1;0
"dan";0;0;0;2;0;0;1;0;0;1;1;0
"dans";0;0;0;1;1;0;0;0;0;0;0;0
"danz";0;0;0;0;0;0;0;0;0;0;1;0
"daqui";1;0;1;0;1;0;0;0;0;0;0;0
"dar";0;0;1;0;0;0;0;0;0;0;0;0
"daria";0;0;0;0;1;0;0;0;0;0;0;0
"datretal";1;0;0;0;0;0;0;0;0;0;0;0
"datz";0;0;0;0;1;0;0;0;0;0;0;0
"dauar";0;0;0;0;0;1;0;0;0;0;0;0
"dauer";0;0;0;0;0;0;0;0;0;0;0;1
"dauol";0;0;1;1;0;0;0;0;0;0;0;0
"daurar";0;0;1;0;0;0;0;0;0;0;0;0
"dazai";0;0;0;0;0;1;0;0;0;0;0;0
"de";4;4;6;6;2;6;1;1;4;0;0;0
"deben";0;0;0;0;0;0;0;0;0;0;1;0
"debenestar";0;0;0;0;0;0;0;0;0;0;1;0
"debons";0;0;0;0;0;0;0;0;0;0;1;0
"dec";0;0;0;1;0;0;0;1;0;0;0;0
"decui";0;0;0;0;0;0;0;0;1;0;0;0
"dedan";0;0;0;0;0;0;0;1;0;0;0;0
"defar";0;0;0;0;0;0;0;0;0;1;0;0
"defeunia";0;0;0;0;0;0;0;0;0;0;0;1
"definen";1;0;0;0;0;0;0;0;0;0;0;0
"degen";0;0;0;0;0;0;0;1;0;0;0;0
"degra";0;0;0;0;0;0;0;1;0;0;0;0
"degron";0;0;1;0;0;0;0;0;0;0;0;0
"degues";0;0;0;0;0;0;0;1;0;0;0;0
"deia";0;0;0;0;0;0;0;0;0;1;0;0
"deigna";0;0;0;0;0;0;0;0;0;0;0;1
"deignal";0;0;0;0;0;0;0;0;0;0;1;0
"deing";1;0;0;0;0;0;0;0;0;0;0;0
"deiunars";0;0;0;1;0;0;0;0;0;0;0;0
"del";2;1;1;0;1;0;2;1;0;3;0;0
"delausengiers";0;0;0;0;0;0;0;0;0;0;1;0
"delieis";0;0;0;0;0;0;1;1;0;0;1;0
"della";0;0;0;0;0;0;0;0;0;0;1;0
"dels";0;0;0;0;2;1;0;0;0;0;0;0
"deltot";0;0;0;0;0;0;0;0;0;0;0;1
"dema";0;0;0;0;0;0;2;0;0;0;0;0
"deman";0;0;0;1;0;1;1;1;0;0;0;0
"deme";0;0;0;0;0;0;0;0;1;0;0;0
"demi";0;0;0;1;0;0;0;1;0;0;0;0
"demia";0;0;0;0;0;0;0;0;0;1;0;0
"demon";0;0;0;0;0;0;1;0;0;0;0;0
"demorir";0;0;0;0;0;0;0;0;0;0;0;1
"demort";0;0;0;0;0;0;0;1;0;0;0;0
"demostratz";0;0;0;0;1;0;0;0;0;0;0;0
"den";0;0;0;0;0;0;0;0;0;0;0;1
"denan";0;0;0;0;0;0;1;0;0;0;0;0
"denemia";0;0;0;0;0;0;0;0;0;0;1;0
"denfan";0;0;0;1;0;0;0;0;0;0;1;0
"dengan";0;0;1;1;0;0;0;0;0;0;1;0
"denoncaler";0;0;0;0;0;0;0;0;0;0;0;1
"dentrels";0;0;0;1;0;0;0;0;0;0;0;0
"denuei";0;0;0;0;0;0;0;0;1;0;0;0
"deplazer";0;0;0;0;0;0;0;0;1;0;0;0
"deportz";0;0;0;0;1;0;0;0;0;0;0;0
"deproenssa";0;0;0;0;0;0;0;0;1;0;0;0
"des";0;0;0;0;0;0;1;0;0;0;0;0
"desacortz";0;0;0;0;1;0;0;0;0;0;0;0
"desastruc";0;0;0;0;0;0;0;1;0;0;0;0
"desauinen";0;0;0;0;0;0;0;0;0;1;0;0
"deschapten";0;0;0;0;1;0;0;0;0;0;0;0
"deschausir";0;0;0;1;0;0;0;0;0;0;0;0
"descnidatz";0;0;0;1;0;0;0;0;0;0;0;0
"descobrir";0;0;0;0;0;0;0;0;0;0;0;1
"descreia";0;0;0;0;0;0;0;0;0;1;0;0
"descrima";0;0;1;0;0;0;0;0;0;0;0;0
"desen";0;0;0;0;0;0;0;0;0;0;0;1
"desenans";0;0;0;0;1;0;0;0;0;0;0;0
"desenmanenta";0;0;0;0;0;0;0;0;0;0;1;0
"deserta";0;0;1;0;0;0;0;0;0;0;0;0
"deseruir";0;0;0;0;0;0;0;0;0;1;0;0
"desesperat";0;0;0;0;0;0;0;0;1;0;0;0
"desir";0;0;0;0;0;0;0;0;1;1;0;0
"desiran";0;0;0;0;0;0;1;1;0;0;1;0
"desirar";0;0;0;0;0;0;0;0;0;0;1;0
"desiriers";0;0;0;0;0;0;0;0;0;0;1;0
"desirs";0;0;0;0;0;0;0;0;0;0;1;0
"deslais";0;0;0;0;0;1;0;0;0;0;0;0
"desleial";0;0;0;0;0;0;0;0;0;0;0;1
"desmenta";0;0;0;0;0;0;0;0;0;0;1;0
"desonors";0;0;0;0;1;1;0;0;0;0;0;0
"despen";1;0;0;0;0;0;0;0;0;0;0;0
"desperanssa";0;0;0;0;0;0;0;0;1;0;0;0
"desperos";0;0;0;0;0;1;0;0;0;0;0;0
"despers";0;0;0;1;0;0;0;0;0;0;0;0
"desplatz";0;0;0;0;0;0;0;0;0;0;0;1
"desque";0;0;0;0;0;1;0;0;0;0;0;1
"desreia";0;0;0;0;0;0;0;0;0;1;0;0
"dessetz";0;0;0;0;0;0;1;0;0;0;0;0
